代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
688698,N伟创,20.02,86.23%,9.27,29.63万,6.19亿,30.23%,22.95,19.70,20.00,10.75,-,80.91%,36.54,4.81
300590,移为通信,29.21,20.01%,4.87,12.54万,3.46亿,19.56%,29.21,24.45,24.63,24.34,2.40,7.33%,85.22,6.77
300310,宜通世纪,5.56,15.59%,0.75,75.83万,4.06亿,16.42%,5.64,4.85,4.86,4.81,4.65,10.96%,145.02,2.79
300379,东方通,43.65,15.38%,5.82,21.58万,8.89亿,17.13%,43.88,37.40,37.40,37.83,2.83,8.17%,863.57,6.85
300647,超频三,12.65,14.17%,1.57,34.25万,4.22亿,17.06%,12.89,11.00,11.02,11.08,2.02,16.54%,540.61,7.24
300711,广哈通信,18.53,12.37%,2.04,20.21万,3.67亿,19.22%,19.48,16.31,16.69,16.49,2.49,9.79%,-1616.70,6.79
300572,安车检测,38.69,11.63%,4.03,9.07万,3.40亿,10.18%,39.15,35.62,35.62,34.66,2.33,6.52%,35.67,7.59
300506,名家汇,7.00,11.46%,0.72,86.06万,6.16亿,14.97%,7.54,6.60,7.54,6.28,4.58,18.65%,-51.75,2.42
688106,金宏气体,28.96,10.66%,2.79,9.16万,2.62亿,14.02%,29.87,26.20,26.30,26.17,1.98,8.51%,73.73,5.16
300638,广和通,58.75,10.35%,5.51,8.35万,4.80亿,12.17%,59.58,53.10,53.13,53.24,2.24,5.60%,47.65,9.47
000557,西部创业,3.80,10.14%,0.35,39.63万,1.46亿,10.43%,3.80,3.44,3.45,3.45,1.82,2.72%,29.83,1.08
600320,振华重工,3.26,10.14%,0.30,37.48万,1.22亿,4.73%,3.26,3.12,3.19,2.96,5.28,1.13%,67.04,1.24
002168,惠程科技,4.35,10.13%,0.40,36.53万,1.54亿,9.87%,4.35,3.96,3.99,3.95,0.70,4.61%,101.78,1.90
603169,兰石重装,4.91,10.09%,0.45,42.92万,2.05亿,12.11%,4.91,4.37,4.46,4.46,5.02,4.08%,-54.43,2.93
600191,华资实业,6.66,10.08%,0.61,83.62万,5.41亿,9.26%,6.66,6.10,6.49,6.05,2.93,17.24%,78.98,1.76
002686,亿利达,7.87,10.07%,0.72,20.46万,1.60亿,7.97%,7.87,7.30,7.55,7.15,2.10,5.23%,124.28,2.90
000530,冰山冷热,4.81,10.07%,0.44,17.46万,8396.09万,0.00%,4.81,4.81,4.81,4.37,1.05,2.92%,700.43,1.21
600333,长春燃气,8.43,10.05%,0.77,149.44万,12.42亿,8.62%,8.43,7.77,8.40,7.66,4.26,24.54%,-42.62,2.54
000881,中广核技,10.73,10.05%,0.98,44.57万,4.62亿,8.51%,10.73,9.90,10.01,9.75,5.67,6.44%,30.00,1.70
600381,青海春天,7.12,10.05%,0.65,51.91万,3.60亿,9.58%,7.12,6.50,6.69,6.47,1.75,8.84%,-30.36,1.83
603083,剑桥科技,13.48,10.04%,1.23,7.08万,9337.32万,9.96%,13.48,12.26,12.26,12.25,1.76,2.81%,-20.29,1.89
000993,闽东电力,8.99,10.04%,0.82,92.36万,8.17亿,10.04%,8.99,8.17,8.99,8.17,3.53,24.76%,-651.48,2.07
605179,一鸣食品,14.59,10.03%,1.33,2294,334.68万,0.00%,14.59,14.59,14.59,13.26,0.29,0.38%,44.36,4.66
000010,美丽生态,3.95,10.03%,0.36,19.74万,7631.24万,10.03%,3.95,3.59,3.60,3.59,1.64,3.78%,93.34,6.79
600776,东方通信,11.96,10.03%,1.09,13.95万,1.62亿,10.12%,11.96,10.86,10.89,10.87,2.27,1.46%,239.64,4.80
601008,连云港,4.39,10.03%,0.40,66.37万,2.79亿,10.28%,4.39,3.98,4.08,3.99,1.95,6.54%,308.58,1.39
603069,海汽集团,23.16,10.02%,2.11,19.73万,4.39亿,9.31%,23.16,21.20,21.23,21.05,0.72,6.24%,-52.16,7.16
603557,起步股份,9.33,10.02%,0.85,20.36万,1.89亿,10.02%,9.33,8.48,8.55,8.48,1.38,4.12%,38.36,2.89
600081,东风科技,16.69,10.02%,1.52,33.31万,5.52亿,5.21%,16.69,15.90,16.00,15.17,1.74,10.62%,41.79,3.63
002555,三七互娱,29.10,10.02%,2.65,69.05万,19.62亿,9.68%,29.10,26.54,26.65,26.45,1.29,4.67%,20.40,7.57
605186,健麾信息,32.95,10.02%,3.00,6.58万,2.17亿,0.00%,32.95,32.95,32.95,29.95,12.04,19.35%,56.93,5.77
603220,中贝通信,14.39,10.02%,1.31,5.68万,7949.42万,9.56%,14.39,13.14,13.15,13.08,1.30,3.06%,179.13,3.07
002606,大连电瓷,8.35,10.01%,0.76,43.37万,3.59亿,10.01%,8.35,7.59,7.60,7.59,2.86,10.66%,24.76,3.36
002624,完美世界,28.46,10.01%,2.59,66.40万,18.51亿,9.86%,28.46,25.91,25.99,25.87,2.53,3.71%,22.92,4.94
603906,龙蟠科技,31.65,10.01%,2.88,20.09万,6.24亿,8.52%,31.65,29.20,31.65,28.77,3.01,5.86%,56.78,7.44
